id	Phylum	Class
1125832	Proteobacteria	Alphaproteobacteria
1112438	Proteobacteria	Betaproteobacteria
334113	Acidobacteria	Acidobacteria-6
334110	Proteobacteria	Betaproteobacteria
892717	Proteobacteria	Alphaproteobacteria
1114172	Proteobacteria	Deltaproteobacteria
237991	Firmicutes	Clostridia
237992	Proteobacteria	Betaproteobacteria
143692	Proteobacteria	Alphaproteobacteria
123738	Bacteroidetes	[Saprospirae]
1123057	Actinobacteria	Acidimicrobiia
1120752	Proteobacteria	Gammaproteobacteria
658132	Actinobacteria	Acidimicrobiia
307869	Bacteroidetes	Sphingobacteriia
137180	Armatimonadetes	Armatimonadia
2625114	Actinobacteria	Acidimicrobiia
546305	Proteobacteria	Alphaproteobacteria
1128776	Proteobacteria	Alphaproteobacteria
1793169	Chloroflexi	Anaerolineae
212027	Chloroflexi	Ellin6529
584873	Firmicutes	Bacilli
3645911	Bacteroidetes	[Saprospirae]
826597	Actinobacteria	Actinobacteria
223030	Gemmatimonadetes	Gemm-1
161009	Bacteroidetes	[Saprospirae]
502910	Proteobacteria	Alphaproteobacteria
209935	Acidobacteria	Acidobacteriia
243954	Proteobacteria	Alphaproteobacteria
822874	Proteobacteria	Alphaproteobacteria
563036	Planctomycetes	Planctomycetia
1099157	Proteobacteria	Gammaproteobacteria
565774	Bacteroidetes	Bacteroidia
566717	Firmicutes	Bacilli
917635	Proteobacteria	Alphaproteobacteria
539878	Proteobacteria	Alphaproteobacteria
538512	Proteobacteria	Betaproteobacteria
1136762	Actinobacteria	Actinobacteria
770614	Proteobacteria	Deltaproteobacteria
640043	Actinobacteria	Thermoleophilia
688461	Chloroflexi	S085
4414734	Chloroflexi	NA
264768	Actinobacteria	Acidimicrobiia
239844	Bacteroidetes	Cytophagia
284308	Proteobacteria	Gammaproteobacteria
557939	WPS-2	NA
756681	Actinobacteria	Acidimicrobiia
31570	Acidobacteria	Solibacteres
577289	Proteobacteria	Alphaproteobacteria
447658	Bacteroidetes	Flavobacteriia
230672	Proteobacteria	Gammaproteobacteria
1773772	Actinobacteria	Nitriliruptoria
220118	Verrucomicrobia	[Pedosphaerae]
980525	Actinobacteria	Thermoleophilia
4397065	Planctomycetes	Planctomycetia
3036442	Acidobacteria	Acidobacteria-6
4243760	Actinobacteria	Thermoleophilia
895808	OP3	PBS-25
234743	Acidobacteria	Acidobacteria-6
707532	Gemmatimonadetes	Gemm-5
672252	Acidobacteria	Acidobacteriia
830657	Gemmatimonadetes	Gemm-3
143343	Bacteroidetes	[Saprospirae]
4354368	Bacteroidetes	Cytophagia
225313	Verrucomicrobia	[Spartobacteria]
277360	Gemmatimonadetes	Gemm-5
114055	Gemmatimonadetes	Gemm-1
227011	Acidobacteria	Acidobacteriia
244310	Proteobacteria	Alphaproteobacteria
434004	Bacteroidetes	[Saprospirae]
101707	Actinobacteria	Actinobacteria
218894	Actinobacteria	Acidimicrobiia
311035	Actinobacteria	Thermoleophilia
3581990	Proteobacteria	Alphaproteobacteria
144545	Chloroflexi	Chloroflexi
1131157	Proteobacteria	Alphaproteobacteria
820908	Firmicutes	Bacilli
253155	WS3	PRR-12
256432	Elusimicrobia	Elusimicrobia
1953633	Proteobacteria	Alphaproteobacteria
253403	Actinobacteria	Actinobacteria
1105521	Proteobacteria	Alphaproteobacteria
819037	Proteobacteria	Betaproteobacteria
4296603	Acidobacteria	Acidobacteriia
1140284	Proteobacteria	Deltaproteobacteria
819038	Proteobacteria	Deltaproteobacteria
915240	Actinobacteria	Actinobacteria
817038	Actinobacteria	Acidimicrobiia
807782	Proteobacteria	Alphaproteobacteria
218095	Proteobacteria	Alphaproteobacteria
235963	Chloroflexi	Anaerolineae
538689	Synergistetes	Synergistia
580972	Planctomycetes	OM190
510580	Chloroflexi	S085
922149	Actinobacteria	Acidimicrobiia
4402805	Gemmatimonadetes	Gemm-1
239330	Proteobacteria	Deltaproteobacteria
560825	Actinobacteria	Actinobacteria
560820	Bacteroidetes	[Saprospirae]
1546868	Acidobacteria	[Chloracidobacteria]
205130	Chloroflexi	Anaerolineae
1105875	Bacteroidetes	[Saprospirae]
1546867	Actinobacteria	Acidimicrobiia
574535	Acidobacteria	iii1-8
73910	Acidobacteria	Sva0725
222074	Acidobacteria	Acidobacteriia
929111	Bacteroidetes	Sphingobacteriia
922724	Bacteroidetes	Flavobacteriia
144917	Actinobacteria	OPB41
191331	Proteobacteria	Deltaproteobacteria
65697	TM7	TM7-3
593162	Proteobacteria	Alphaproteobacteria
593163	Proteobacteria	Betaproteobacteria
4290381	Proteobacteria	Alphaproteobacteria
4433019	Proteobacteria	Gammaproteobacteria
939892	Proteobacteria	Gammaproteobacteria
561844	Actinobacteria	Acidimicrobiia
586356	Firmicutes	Clostridia
813195	Verrucomicrobia	Verrucomicrobiae
586351	Actinobacteria	Acidimicrobiia
245807	Gemmatimonadetes	Gemm-5
754628	Proteobacteria	Alphaproteobacteria
578951	Gemmatimonadetes	Gemmatimonadetes
912669	Bacteroidetes	[Saprospirae]
81191	Proteobacteria	Gammaproteobacteria
1111496	Acidobacteria	DA052
591699	Proteobacteria	Alphaproteobacteria
1111492	Planctomycetes	Planctomycetia
4393102	Gemmatimonadetes	Gemmatimonadetes
331993	Planctomycetes	Phycisphaerae
2847579	Proteobacteria	Alphaproteobacteria
827968	Firmicutes	Clostridia
255206	Proteobacteria	Alphaproteobacteria
1902952	Acidobacteria	Acidobacteria-6
254386	Proteobacteria	Deltaproteobacteria
2951283	Planctomycetes	Planctomycetia
1760355	Proteobacteria	Gammaproteobacteria
810563	Actinobacteria	Actinobacteria
176040	OP3	PBS-25
